sample_id,PC1,PC2,PC3,mahal_dist,is_outlier,pct_var_pc1,pct_var_pc2,pct_var_pc3,n_genes_pca
MB-0231,7.999270097857957,2.5955025035853185,1.5631954051145065,1.0382198804108835,FALSE,16.89,7.97,4.38,500
MB-0232,8.476668968379032,3.251079571282565,0.8462978587108906,1.1487294990715329,FALSE,16.89,7.97,4.38,500
MB-0233,-0.3162707494629957,5.539831443183991,-5.817308777586586,2.315906089482197,FALSE,16.89,7.97,4.38,500
MB-0234,3.974664593129632,1.9894913442854982,-5.260580527223136,1.5493028237357496,FALSE,16.89,7.97,4.38,500
MB-0235,5.310756100428451,5.36066191423465,-4.289294077823109,1.8948751257996463,FALSE,16.89,7.97,4.38,500
MB-0236,0.941038368229072,4.84644361119219,-4.86869057673411,1.681826427751816,FALSE,16.89,7.97,4.38,500
MB-0238,-17.421192169203174,-2.454950958646512,0.3523678138436328,3.7502831755980823,FALSE,16.89,7.97,4.38,500
MB-0239,1.7461821430909916,6.255703960787249,-3.1402665005089805,1.468453014257769,FALSE,16.89,7.97,4.38,500
MB-0241,-4.468036119895127,0.4264752131737434,-0.1097294767675356,0.24147568010562112,FALSE,16.89,7.97,4.38,500
MB-0242,2.4177472221423084,5.032471322486499,-2.086591024593861,0.9036208779547887,FALSE,16.89,7.97,4.38,500
MB-0243,8.012126038183025,5.373343695929562,-0.3650153667607303,1.4908800849959218,FALSE,16.89,7.97,4.38,500
MB-0244,5.089449693488556,3.614515890400116,6.082783460667965,2.32315264419712,FALSE,16.89,7.97,4.38,500
MB-0245,2.876246318473934,7.1337948499313,-3.98782422490057,2.1011313103425446,FALSE,16.89,7.97,4.38,500
MB-0247,-1.8927184280215401,9.932717095603012,0.16841338383530854,2.5202181569628994,FALSE,16.89,7.97,4.38,500
MB-0248,5.967462889202689,-4.148243285384011,-0.6603777791898171,0.8734705183428071,FALSE,16.89,7.97,4.38,500
MB-0249,-9.913454705040037,-2.0392866982803213,-5.064048599814566,2.4382634385862554,FALSE,16.89,7.97,4.38,500
MB-0253,9.960817394468688,2.1563624656014255,10.811323067388074,6.625530608152866,FALSE,16.89,7.97,4.38,500
MB-0256,5.903657616546371,7.938309726531057,0.08335877543647151,1.9947997268620348,FALSE,16.89,7.97,4.38,500
MB-0257,10.662878948788434,3.3179866110775107,-0.6909270121263804,1.6442732773654254,FALSE,16.89,7.97,4.38,500
MB-0258,6.520885962801724,3.3124242456994923,-0.5268415819456934,0.7915353934991872,FALSE,16.89,7.97,4.38,500
MB-0259,-17.475510514480106,-12.84192920773157,7.854287564226595,10.57068291809112,FALSE,16.89,7.97,4.38,500
MB-0260,5.768429804976125,8.620738666172713,1.6788163981448978,2.3880742783551923,FALSE,16.89,7.97,4.38,500
MB-0261,11.964817179911252,-0.09466952406896947,1.796778501119556,1.8424940480912808,FALSE,16.89,7.97,4.38,500
MB-0262,-1.5807307681567537,1.25675400047777,-7.465316185955445,2.6125424248242424,FALSE,16.89,7.97,4.38,500
MB-0263,2.751463131202594,9.06015340328339,2.998186436131951,2.56036773637569,FALSE,16.89,7.97,4.38,500
MB-0264,4.962260168126499,-0.47145728905775447,1.8810556920972639,0.4585967315433659,FALSE,16.89,7.97,4.38,500
MB-0265,-11.271507222150086,8.438846090338409,5.418493922247054,4.631662370497888,FALSE,16.89,7.97,4.38,500
MB-0266,4.204890461092504,10.140221085526733,1.152300597980721,2.8509977256437,FALSE,16.89,7.97,4.38,500
MB-0268,5.879636877790044,2.052036965515847,0.6749054835623763,0.5357877422283045,FALSE,16.89,7.97,4.38,500
MB-0269,-14.028800548951518,3.6012774787832535,2.9849708774107917,3.0623094772203645,FALSE,16.89,7.97,4.38,500
MB-0270,7.0197534951046805,-2.5330926931571485,-0.7510462972356333,0.7702341945642387,FALSE,16.89,7.97,4.38,500
MB-0272,8.509752490779684,0.023049150881766404,-2.301027579335795,1.099025794864663,FALSE,16.89,7.97,4.38,500
MB-0273,7.970231420745874,4.214479147371656,0.3347668715843364,1.2030813768575934,FALSE,16.89,7.97,4.38,500
MB-0275,-1.1956926585722139,13.1216358214911,2.7226746233744334,4.6771719504933085,FALSE,16.89,7.97,4.38,500
MB-0278,-15.898292242589399,-4.018658620058158,12.511770529036651,10.541931754976357,FALSE,16.89,7.97,4.38,500
MB-0279,-3.129754399686204,11.423370173847124,1.7280024228008428,3.5278529792182707,FALSE,16.89,7.97,4.38,500
MB-0280,6.3832237784203505,2.5030062594825684,3.0388957450520775,1.061118838585556,FALSE,16.89,7.97,4.38,500
